,language,sentence_id,n,vertex_id,in_degree,out_degree,degree,is_leaf,descendants,closeness,betweenness,pagerank,harmonic,eigenvector
0,Japanese,2,23,6,1,1,2,0,1,0.08181818181818183,0.01948051948051948,0.039683973138271364,2.828968253968254,0.0
1,Japanese,2,23,4,1,0,1,1,0,0.08264462809917356,0.0,0.050552103155790326,2.928968253968254,0.0
2,Japanese,2,23,2,1,2,3,0,3,0.0808080808080808,0.05194805194805195,0.053795882539858356,2.717857142857143,0.0
3,Japanese,2,23,23,1,0,1,1,0,0.08181818181818183,0.0,0.039683973138271364,2.828968253968254,0.0
4,Japanese,2,23,20,1,1,2,0,4,0.07954545454545454,0.06060606060606061,0.04349998395339451,2.592857142857143,0.0
5,Japanese,2,23,15,1,2,3,0,10,0.0779220779220779,0.12987012987012986,0.06277636589720113,2.45,0.0
6,Japanese,2,23,3,1,1,2,0,1,0.08264462809917356,0.021645021645021644,0.06998716761908196,2.9289682539682538,0.0
7,Japanese,2,23,5,1,0,1,1,0,0.08333333333333333,0.0,0.07631135200042527,3.019877344877345,0.0
8,Japanese,2,23,14,1,1,2,0,2,0.08181818181818183,0.03896103896103896,0.06254779198789122,2.828968253968254,0.0
9,Japanese,2,23,8,1,1,2,0,3,0.0808080808080808,0.05194805194805195,0.053795882539858356,2.7178571428571425,0.0
10,Japanese,2,23,12,1,1,2,0,4,0.07954545454545454,0.06060606060606061,0.04349998395339451,2.592857142857143,0.0
11,Japanese,2,23,9,1,1,2,0,11,0.07575757575757575,0.11904761904761904,0.05406702669630842,2.283333333333333,0.0
12,Japanese,2,23,18,1,1,2,0,12,0.07272727272727274,0.1038961038961039,0.043820752640945315,2.0833333333333335,0.0
13,Japanese,2,23,13,1,1,2,0,13,0.06818181818181818,0.08441558441558442,0.03176606985272186,1.8333333333333333,0.0
14,Japanese,2,23,19,1,2,3,0,16,0.06060606060606061,0.06926406926406926,0.035167690708836685,1.5,0.0
15,Japanese,2,23,21,1,1,2,0,17,0.045454545454545456,0.0367965367965368,0.021585782423267242,1.0,0.0
16,Japanese,2,23,1,1,1,2,0,1,0.06818181818181818,0.006493506493506494,0.03176606985272186,1.8333333333333333,0.0
17,Japanese,2,23,22,1,0,1,1,0,0.07272727272727274,0.0,0.043820752640945315,2.0833333333333335,0.0
18,Japanese,2,23,10,0,3,3,0,22,0.0,0.0,0.01682015428865151,0.0,0.0
19,Japanese,2,23,16,1,1,2,0,1,0.06060606060606061,0.004329004329004329,0.035167690708836685,1.5,0.0
20,Japanese,2,23,7,1,0,1,1,0,0.06818181818181818,0.0,0.04671198541679221,1.8333333333333333,0.0
21,Japanese,2,23,17,1,1,2,0,2,0.045454545454545456,0.004329004329004329,0.021585782423267242,1.0,0.0
22,Japanese,2,23,11,1,0,1,1,0,0.045454545454545456,0.0,0.021585782423267242,1.0,0.0
23,Japanese,5,18,8,1,1,2,0,1,0.09411764705882353,0.014705882352941176,0.07798052349114526,2.083333333333333,0.0
24,Japanese,5,18,9,1,0,1,1,0,0.09803921568627451,0.0,0.09218960612074917,2.283333333333333,0.0
25,Japanese,5,18,14,1,1,2,0,2,0.08823529411764706,0.022058823529411763,0.06126315160114283,1.8333333333333333,0.0
26,Japanese,5,18,4,1,1,2,0,3,0.0784313725490196,0.022058823529411763,0.041595794360887575,1.5,0.0
27,Japanese,5,18,5,1,2,3,0,15,0.058823529411764705,0.05514705882352941,0.03691631829451149,1.0,0.0
28,Japanese,5,18,1,1,1,2,0,1,0.10084033613445378,0.022058823529411763,0.042636019076188234,2.45,0.0
29,Japanese,5,18,2,1,0,1,1,0,0.10294117647058823,0.0,0.062146548902998894,2.592857142857143,0.0
30,Japanese,5,18,6,1,3,4,0,5,0.09803921568627451,0.09191176470588235,0.059047857377597754,2.283333333333333,0.0
31,Japanese,5,18,17,1,1,2,0,1,0.10084033613445378,0.022058823529411763,0.042636019076188234,2.45,0.0
32,Japanese,5,18,12,1,0,1,1,0,0.10294117647058823,0.0,0.062146548902998894,2.5928571428571425,0.0
33,Japanese,5,18,3,1,0,1,1,0,0.10084033613445378,0.0,0.042636019076188234,2.45,0.0
34,Japanese,5,18,7,1,2,3,0,8,0.09411764705882353,0.11764705882352941,0.07798052349114526,2.083333333333333,0.0
35,Japanese,5,18,11,1,1,2,0,9,0.08823529411764706,0.09926470588235294,0.06126315160114283,1.8333333333333333,0.0
36,Japanese,5,18,16,1,1,2,0,1,0.09803921568627451,0.01838235294117647,0.059047857377597754,2.283333333333333,0.0
37,Japanese,5,18,18,1,0,1,1,0,0.10084033613445378,0.0,0.07609583995967201,2.45,0.0
38,Japanese,5,18,15,1,1,2,0,10,0.0784313725490196,0.07352941176470588,0.041595794360887575,1.5,0.0
39,Japanese,5,18,10,0,2,2,0,17,0.0,0.0,0.025906108634446336,0.0,0.0
40,Japanese,5,18,13,1,0,1,1,0,0.058823529411764705,0.0,0.03691631829451149,1.0,0.0
41,Japanese,8,33,2,1,2,3,0,2,0.05,0.008064516129032258,0.043886398645251234,2.083333333333333,0.0
42,Japanese,8,33,10,1,0,1,1,0,0.05208333333333333,0.0,0.033974995395422175,2.283333333333333,0.0
43,Japanese,8,33,14,1,0,1,1,0,0.05208333333333333,0.0,0.033974995395422175,2.283333333333333,0.0
44,Japanese,8,33,4,1,1,2,0,3,0.046875,0.00907258064516129,0.03360539090436309,1.8333333333333333,0.0
45,Japanese,8,33,16,1,1,2,0,4,0.041666666666666664,0.008064516129032258,0.021508988400137614,1.5,0.0
46,Japanese,8,33,6,1,3,4,0,28,0.03125,0.028225806451612902,0.021834839480343426,1.0,0.0
47,Japanese,8,33,12,1,1,2,0,1,0.041666666666666664,0.0020161290322580645,0.03388179005924533,1.5,0.0
48,Japanese,8,33,32,1,0,1,1,0,0.046875,0.0,0.04412198993288309,1.8333333333333333,0.0
49,Japanese,8,33,26,1,1,2,0,2,0.03125,0.0020161290322580645,0.021834839480343426,1.0,0.0
50,Japanese,8,33,3,0,2,2,0,32,0.0,0.0,0.015322587570583752,0.0,0.0
51,Japanese,8,33,29,1,1,2,0,1,0.05,0.004032258064516129,0.036116745017677164,2.083333333333333,0.0
52,Japanese,8,33,27,1,0,1,1,0,0.05208333333333333,0.0,0.04602194597432408,2.283333333333333,0.0
53,Japanese,8,33,22,1,1,2,0,2,0.046875,0.006048387096774193,0.024463989237473425,1.8333333333333333,0.0
54,Japanese,8,33,15,1,2,3,0,6,0.041666666666666664,0.012096774193548387,0.021508988400137614,1.5,0.0
55,Japanese,8,33,24,1,1,2,0,1,0.05,0.004032258064516129,0.036116745017677164,2.083333333333333,0.0
56,Japanese,8,33,18,1,0,1,1,0,0.05208333333333333,0.0,0.04602194597432408,2.283333333333333,0.0
